,Q1,,,,,,,,,,,,Q2,,,,,,,,,,,
606466,6300,0.899898175,0.779372468,0.701355862,178290,1.633168085,0.72517942,1.184339885,197100,1.558542628,0.726236774,1.13187097,25125,3.987621013,0.899898175,3.588452871,254415,1.426970514,1.633168085,2.330482702,223320,1.133028244,1.558542628,1.765872818
606473,18840,6.975564606,0.144824461,1.010232387,213090,1.649334124,0.523066247,0.862711011,222033,0.794744721,1.223176567,0.972113119,16810,0.89225625,6.975564606,6.223991114,219513,1.030142052,1.649334124,1.699048439,233070,1.049708603,0.794744721,0.834250371
606498,23643.64,0.489199968,1.255408093,0.614145599,506680,0.899975843,1.047403027,0.942637422,500182,0.902219284,1.040418509,0.938685642,0,0.0000423,0.489199968,0.0000207,470440,0.928475708,0.899975843,0.835605708,612423,1.22439987,0.902219284,1.104677174
606500,15900,0.542428049,1.33830211,0.725932603,226899,1.539954245,1.023272566,1.575792932,218280,1.515935024,1.24999783,1.89491549,27600,1.73580278,0.542428049,0.941548116,256122,1.12879242,1.539954245,1.738288679,237150,1.086448202,1.515935024,1.646984881
606617,15225,0.382295379,1.364904361,0.52179663,292032,1.071946262,1.032423085,1.106702067,289008,1.097739866,1.049042867,1.151576176,0,0.0000657,0.382295379,0.0000251,0,0.00000342,1.071946262,0.00000367,0,0.00000346,1.097739866,0.0000038
606621,18540,18541,3.71E-05,0.688140133,266700,2.101285853,0.584332944,1.227850548,260730,0.984601337,1.241647173,1.222527466,25807.5,1.391969149,18541,25808.5,270834,1.015500504,2.101285853,2.133856843,269280,1.032792418,0.984601337,1.016888796
606624,25000,0.552718494,1.342441261,0.741992111,230400,0.450140864,1.163822153,0.523883909,230400,0.496757293,1.076654874,0.534836161,0,0.00004,0.552718494,0.0000221,230400,0.450140864,1.163822153,0.523883909,230400,0.496757293,1.076654874,0.534836161
606669,0,1,9.00E-05,9.00E-05,0,4.80E-06,0.730241966,3.50E-06,0,4.24E-06,0.802414766,3.40E-06,0,1,1,1,0,0.0000048,0.730241966,0.0000035,0,0.00000424,0.802414766,0.0000034
606694,0,1,1,1,71957.6,0.675648066,0.71831041,0.485325039,96912.08,0.532098212,0.960207046,0.510924452,0,1,1,1,71957.6,0.675648066,0.71831041,0.485325039,96912.08,0.532098212,0.960207046,0.510924452
606707,14950,14951,3.85E-05,0.574938371,355355,4.41218978,0.208154249,0.918416051,307873,0.885437847,1.29278542,1.144681139,24285,1.624372952,14951,24286,360988,1.015851709,4.41218978,4.48213053,358455,1.164294484,0.885437847,1.030910401
606790,17400.41,17401.41,7.29E-05,1.268800893,362196,1.967719463,0.449386699,0.884266954,358237,0.926043974,0.895382528,0.829163594,31500,1.810255606,17401.41,31501,517751,1.429476224,1.967719463,2.812808189,500019,1.395775992,0.926043974,1.292549947
606827,26000,0.429039684,1.374503634,0.589716605,537120,0.849979903,1.209769713,1.028279943,535680,0.870444305,1.20588195,1.049653075,37480,1.44152148,0.429039684,0.618469921,590544,1.099463622,0.849979903,0.934521982,587520,1.096774013,0.870444305,0.954680693
606860,19570,19571,1,19571,440640,1.275087752,1.447366547,1.845519357,433500,0.745473225,1.521368499,1.134139482,37000,1.890603444,19571,37001,502860,1.141203383,1.275087752,1.455134456,501840,1.157646695,0.745473225,0.862994616
606863,0,1,2.54E-05,2.54E-05,410,-0.001618126,-0.484881852,0.0007846,786,0.001698299,1.014190553,0.001722399,24029.94,24030.94,1,24030.94,108054,262.9075426,-0.001618126,-0.425417406,95213,120.9834816,0.001698299,0.205466128
606872,16575,0.62591004,1.151578338,0.720784443,223200,0.810801484,1.06257218,0.8615351,208800,0.79489942,1.127576772,0.896310122,22500,1.357444498,0.62591004,0.84963814,230400,1.03225792,0.810801484,0.836956253,230400,1.10344778,0.79489942,0.87713
606892,21850,0.502538266,1.123645153,0.564674686,451440,1.205931662,0.765143113,0.922710306,357264,1.013270809,0.950210073,0.962820129,0,0.0000458,0.502538266,0.000023,451440,1.205931662,0.765143113,0.922710306,357264,1.013270809,0.950210073,0.962820129
606941,68000,68001,1.32E-05,0.894738227,1325064.96,-2.101461091,-0.498319101,1.047198201,1319735.894,0.853375455,1.382960758,1.180184767,0,0.0000147,68001,1,403280.64,0.304348351,-2.101461091,-0.639576218,880159.9968,0.666921566,0.853375455,0.569134495
606961,17440,0.616778882,1.020442735,0.62938753,495536,1.044517137,1.039166096,1.085426796,467494,0.997770093,1.009113904,1.006863674,41800,2.396708904,0.616778882,1.478239439,696580,1.405709362,1.044517137,1.468287518,548839,1.174001861,0.997770093,1.171383946
607024,0,1,4.38E-05,4.38E-05,0,1.42E-06,3.092489427,4.39E-06,424001.1636,0.608942176,0.850815025,0.518097153,0,1,1,1,0,0.00000142,3.092489427,0.00000439,424001.1636,0.608942176,0.850815025,0.518097153
607027,13060.66,0.278379281,1.353400927,0.376758777,331177,0.538536759,1.161766801,0.625654128,355036,0.593545691,1.17793687,0.699159353,35642.45,2.72886065,0.278379281,0.759658265,423611,1.279106704,0.538536759,0.688845979,393301,1.107777499,0.593545691,0.657516561
607030,37950,0.708105492,1.262037343,0.893655573,717408,1.213511303,1.109639969,1.346560645,648288,1.126505225,1.104905304,1.244681598,53500,1.409738874,0.708105492,0.998243838,724752,1.010236838,1.213511303,1.225933822,723600,1.116170412,1.126505225,1.257371801
607039,15900,0.733510061,21677.9576,15901,312480,0.968284808,-5.375106181,-5.204633655,299520,0.961672261,1.229264498,1.18214957,26730,1.68108924,0.733510061,1.233095871,344448,1.10230382,0.968284808,1.067344042,330048,1.101922737,0.961672261,1.05968853
607041,8800,0.204325944,43073.3359,8801,772160,0.738217296,1.825972584,1.347964544,912000,0.932956929,0.845559979,0.788871042,0,0.000113623,0.204325944,0.0000232,772160,0.738217296,1.825972584,1.347964544,912000,0.932956929,0.845559979,0.788871042
607043,0,1,4.24E-05,4.24E-05,72048,0.194334157,1.5246892,0.29629919,184623,0.500001354,0.897810467,0.448906449,0,1,1,1,72048,0.194334157,1.5246892,0.29629919,184623,0.500001354,0.897810467,0.448906449
607058,0,2.42E-05,1.303167678,3.16E-05,266544,0.753405936,1.083677905,0.816449366,309600,0.916722432,1.097560659,1.006158476,0,1,0.0000242,0.0000242,50688,0.190170515,0.753405936,0.143275595,43200,0.139537663,0.916722432,0.127917306
607061,0,1,6.21E-05,6.21E-05,12672,0.323479788,0.170591847,0.055183014,158502,0.703494522,0.918045478,0.645839965,0,1,1,1,12672,0.323479788,0.170591847,0.055183014,158502,0.703494522,0.918045478,0.645839965
607077,0,1,1,1,78912,1.493540414,1.044509506,1.560017159,141129,1.125025011,0.673950935,0.758211658,17425,17426,1,17426,168393,2.133919633,1.493540414,3.187095211,177534,1.25795366,1.125025011,1.41522933
607083,22990,0.50335609,1.470392611,0.740131075,458490,1.006493492,1.19178032,1.199519136,446250,1.106847433,1.054794377,1.167496448,32500,1.41364012,0.50335609,0.711564363,497250,1.084538192,1.006493492,1.091580632,497250,1.114285458,1.106847433,1.233343999
607139,33990,0.55016838,1.092270653,0.600932776,636144,0.966384239,1.228292801,1.187002804,622980,1.360180728,1.117631958,1.520181451,34435,1.013091701,0.55016838,0.55737102,613872,0.964989114,0.966384239,0.932550271,610560,0.980063597,1.360180728,1.333063618
607173,6710,0.704260345,9529.1465,6711,156840,1.188116487,1.156718765,1.374316636,179557,1.254334439,1.007436095,1.263661789,0,0.000149009,0.704260345,0.000104941,107860,0.687709209,1.188116487,0.817078649,208267,1.159892625,1.254334439,1.454893265
607184,0,1,5.75E-05,5.75E-05,430045.2,0.362791235,1.045380835,0.379255004,853933.77,0.686337032,1.128333217,0.774416871,0,1,1,1,430045.2,0.362791235,1.045380835,0.379255004,853933.77,0.686337032,1.128333217,0.774416871
800007,0,1,4.11E-05,4.11E-05,249412,3.313954222,0.230604684,0.764213367,310133,1.098745605,0.874726224,0.961101594,0,1,1,1,0,0.00000401,3.313954222,0.0000133,0,0.00000322,1.098745605,0.00000354
800012,0,4.27E-05,1.361417662,5.82E-05,197676,0.386217409,0.945670729,0.365234499,251142,0.495391996,1.021666623,0.506125468,0,1,0.0000427,0.0000427,28234,0.142834017,0.386217409,0.055164984,84816,0.337723926,0.495391996,0.16730573
800038,34067.7,0.706165392,1.205001694,0.850930494,770697,1.150975629,1.055806839,1.21520794,754596,1.192018236,1.062059341,1.265994102,38990,1.144481592,0.706165392,0.808193292,549150.816,0.712538265,1.150975629,0.820114178,538928.5144,0.714195146,1.192018236,0.851333638
800063,0,2.77E-05,0.830106796,2.30E-05,163780,0.155284688,0.69248889,0.107532921,422180,0.429384352,0.722973177,0.310433369,0,1,0.0000277,0.0000277,163780,0.155284688,0.69248889,0.107532921,422180,0.429384352,0.722973177,0.310433369
800093,23000,0.352997637,1.273906088,0.449685839,718272,0.945522658,1.139351434,1.077282596,637920,0.95655345,1.083658401,1.036577182,45292.5,1.969196991,0.352997637,0.695121885,783936,1.091419279,0.945522658,1.031961657,721440,1.130925303,0.95655345,1.0817905
800106,0,6.16E-05,16222.2686,1,9615,0.055830534,8.618135184,0.481155092,154896,1.099780182,1.068763993,1.175405458,16675,16676,0.0000616,1.027969664,194910,20.26944676,0.055830534,1.131654043,172653,1.114637469,1.099780182,1.225856198
800116,8800,0.396517891,1.296055494,0.513909191,252912,0.933385395,1.226189453,1.144507326,297528,0.972192769,1.22887232,1.194700784,0,0.000113623,0.396517891,0.0000451,168520,0.666320039,0.933385395,0.621933392,307208,1.032534644,0.972192769,1.003822714
800125,0,1,2.69E-05,2.69E-05,0,1.22E-06,0.549876846,6.72E-07,0,6.57E-07,1.045454514,6.87E-07,0,1,1,1,0,0.00000122,0.549876846,0.000000672,0,0.000000657,1.045454514,0.000000687
800134,28966.62,0.584834838,1.405207098,0.821814066,708803,0.686150401,1.122729197,0.77036109,603659,0.678992133,1.075706049,0.730395945,0,0.0000345,0.584834838,0.0000202,229435,0.323694562,0.686150401,0.222103153,350391,0.580445946,0.678992133,0.394118231
800148,0,1,1,1,66880,0.517847589,1.177117322,0.609567367,156591,0.942736148,1,0.942736148,0,1,1,1,66880,0.517847589,1.177117322,0.609567367,156591,0.942736148,1,0.942736148
800162,0,1,1,1,269173.2,0.665279793,1.55769792,1.036304949,372478.7,0.732792696,1.411159424,1.034087319,0,1,1,1,269173.2,0.665279793,1.55769792,1.036304949,372478.7,0.732792696,1.411159424,1.034087319
800167,23345,0.510494138,1.401162777,0.715285384,502860,0.99625479,1.140828084,1.136555443,500259,0.991101758,1.17274899,1.162313586,38350,1.642722522,0.510494138,0.838600218,610878,1.214806875,0.99625479,1.210257168,529584,1.058619518,0.991101758,1.049199665
800168,22855,1.426119468,2.328125956,3.32018575,381330,0.475465031,1.236085176,0.587715277,369480,0.467028317,1.042243216,0.486757096,27570,1.206291565,1.426119468,1.720315884,401660,1.053313263,0.475465031,0.500813624,393066,1.063835488,0.467028317,0.496841298
800183,26147.71,0.551758147,1.159204223,0.639600374,441856,1.00997444,1.007426759,1.017475276,406733,0.939868944,1.087412079,1.022024842,24918.73,0.953000358,0.551758147,0.525825712,438079.3293,0.991452731,1.00997444,1.001341916,473763,1.164800582,0.939868944,1.094759893
800198,26125,1.754058282,0.321306196,0.563589794,751095,1.258756119,0.780464357,0.982414285,726722,0.996924653,0.985230187,0.982200262,62500,2.392291204,1.754058282,4.1962182,1065662,1.418810645,1.258756119,1.785936581,909120,1.250986965,0.996924653,1.247139745
800247,0,1,1,1,32683.8,0.159667971,0.798658504,0.127520183,201263.4,0.291045801,1.007518786,0.293234112,0,1,1,1,32683.8,0.159667971,0.798658504,0.127520183,201263.4,0.291045801,1.007518786,0.293234112
800254,0,2.14E-05,1.016574032,2.18E-05,384048,0.62695828,0.995608692,0.624205114,344304,0.566099129,1.076228285,0.609251894,0,1,0.0000214,0.0000214,384048,0.62695828,0.995608692,0.624205114,344304,0.566099129,1.076228285,0.609251894
800257,29125,0.579303572,1.282894238,0.743185215,465082,0.311464503,1.12667258,0.350918515,451440,0.311985651,1.138035593,0.355050775,33750,1.158792831,0.579303572,0.671292826,489630,1.052781977,0.311464503,0.327904215,481156,1.06582477,0.311985651,0.332522035
800264,25647.43,0.603395804,1.371172383,0.827359662,648666,1.100535644,1.072155422,1.179945258,567471,1.12525999,1.01373112,1.14071107,0,0.000039,0.603395804,0.0000235,563112,0.868107981,1.100535644,0.955383776,450919,0.794611893,1.12525999,0.894144971
800276,0,2.89E-05,0.963831246,2.78E-05,390652,0.880201616,0.801116772,0.705144277,505758,1.176718307,1.057577066,1.244470295,0,1,0.0000289,0.0000289,254434,0.651306914,0.880201616,0.573281398,395462,0.781919847,1.176718307,0.920099399
800292,0,1,1,1,177897,1.031460119,0.864440916,0.89163633,284359,0.918128722,0.834062872,0.765777079,21866.08,21867.08,1,21867.08,379437.5,2.132899189,1.031460119,2.200000452,350120,1.231259671,0.918128722,1.130454868
800309,22608,22609,3.75E-05,0.848557425,392840,2.216126505,0.204875423,0.454029854,385696,0.443691887,1.020959227,0.452991326,0,0.0000442,22609,1,286690,0.729788897,2.216126505,1.617304517,410147,1.063394322,0.443691887,0.471819433
800321,26000,0.488911789,1.220829171,0.596877773,628272,0.917914493,1.273386813,1.168860211,625680,0.910135732,1.371256744,1.248029761,37480,1.44152148,0.488911789,0.704776845,696960,1.10932827,0.917914493,1.018268496,686880,1.097813422,0.910135732,0.999159223
800341,0,1,1,1,83754.5,0.340946532,8.229868707,2.805945198,255245.05,0.712031865,0.962616519,0.685413635,0,1,1,1,83754.5,0.340946532,8.229868707,2.805945198,255245.05,0.712031865,0.962616519,0.685413635
800359,0,1,4.62E-05,4.62E-05,148450,3.759088729,0.104706978,0.393602821,283899,0.745775075,1.055978886,0.787522733,0,1,1,1,233140,1.570491273,3.759088729,5.903616044,287681,1.013321592,0.745775075,0.755709987
800371,0,9.69E-05,10320.2608,1,69160,0.076333578,1.441519765,0.110036361,153132,0.144076796,1.068373841,0.15392788,0,1,0.0000969,0.0000969,69160,0.076333578,1.441519765,0.110036361,153132,0.144076796,1.068373841,0.15392788
800374,26875,0.764195927,0.777084352,0.593844697,722420,0.701968713,0.932702475,0.654727956,687220,0.718091022,0.870831486,0.625336272,47400,1.763692514,0.764195927,1.347806636,797704,1.104210703,0.701968713,0.775121366,768480,1.118244349,0.718091022,0.803001228
800385,0,1,2.98E-05,2.98E-05,242906.2,1.821970893,0.29193161,0.531890896,435460,1.561313336,0.616480876,0.962519813,0,1,1,1,0,0.00000412,1.821970893,0.0000075,0,0.0000023,1.561313336,0.00000359
800399,0,1,6.91E-05,6.91E-05,102509.61,0.349531296,0.571240605,0.199666469,179676.81,0.531794793,0.460310484,0.244790719,0,1,1,1,102509.61,0.349531296,0.571240605,0.199666469,179676.81,0.531794793,0.460310484,0.244790719
800400,27330,27331,1.72E-05,0.471005504,560975,25.87618385,0.00902641,0.233569047,552900,0.228023577,1.064047815,0.242627989,0,0.0000366,27331,1,0,0.00000178,25.87618385,0.0000461,0,0.00000181,0.228023577,0.000000412
800422,20976.4,7.766530914,2701,20977.4,291390,2.153603214,2.086903665,4.494362439,275097,1.086511125,1.09834888,1.193368277,0,0.0000477,7.766530914,0.000370233,17960,0.061638829,2.153603214,0.13274558,250021,0.908847029,1.086511125,0.987472408
800445,0,1,0.000110492,0.000110492,0,7.49E-05,0.075749921,5.67E-06,0,5.12E-06,0.977443722,5.01E-06,0,1,1,1,0,0.0000749,0.075749921,0.00000567,0,0.00000512,0.977443722,0.00000501
800454,42845,0.661041632,1.192773281,0.788472796,916462.5,0.844478007,1.056534036,0.892219757,887785,0.877270827,1.036055247,0.908901044,34850,0.813401484,0.661041632,0.537692245,844459.5,0.92143386,0.844478007,0.778130629,889280,1.001683964,0.877270827,0.87874812
800460,73000,73001,2.69E-05,1.96558191,1091930,1.094199933,0.434577766,0.475514963,1091645,0.378959649,1.336834793,0.506606443,24685,0.338159751,73001,24686,833340,0.763181007,1.094199933,0.835072607,953800,0.87372738,0.378959649,0.331107421
800463,33520,2.797930475,1.127567617,3.154855797,539070,0.52815106,1.11149666,0.587038139,509620,0.486232145,1.054788162,0.51287191,41920,1.250589183,2.797930475,3.499061586,588734,1.092128866,0.52815106,0.576809018,566504,1.111620204,0.486232145,0.540505476
800467,17250,0.460105562,1.621490275,0.746056694,346035,1.168658358,1.600619453,1.870577302,271983,1.019925415,1.815680721,1.851858913,24337.5,1.410845748,0.460105562,0.649137976,309774,0.895210325,1.168658358,1.046195028,288966,1.062441173,1.019925415,1.083610754
800494,0,1,2.09E-05,2.09E-05,301593.6,0.379447421,1.016064236,0.385542954,516164.88,0.649407556,1.016064236,0.659839792,0,1,1,1,301593.6,0.379447421,1.016064236,0.385542954,516164.88,0.649407556,1.016064236,0.659839792
800497,0,1,1,1,179613,0.587741974,1.536195593,0.902886629,212580,0.610616397,0.819552233,0.500432032,0,1,1,1,179613,0.587741974,1.536195593,0.902886629,212580,0.610616397,0.819552233,0.500432032
800519,0,6.40E-05,2.068478939,0.000132455,70795,0.25972104,1.301804332,0.338105975,82661,0.355712116,0.994980367,0.353926572,0,1,0.000064,0.000064,70795,0.25972104,1.301804332,0.338105975,82661,0.355712116,0.994980367,0.353926572
800530,11826.34,0.623296491,18975.4638,11827.34,208500,0.698027654,16.50113248,11.5182468,184902,0.644862552,0.816421491,0.526479646,17217,1.455779575,0.623296491,0.907382301,240360,1.152805023,0.698027654,0.804689786,199780,1.080463811,0.644862552,0.69675065
800533,0,8.44E-05,11850.1232,1,0,3.24E-06,3.148848718,1.02E-05,0,2.58E-06,1.351603499,3.49E-06,0,1,0.0000844,0.0000844,0,0.00000324,3.148848718,0.0000102,0,0.00000258,1.351603499,0.00000349
800538,26690,0.539041295,1.451524687,0.782431748,369168.765,0.348183438,1.075788148,0.374571616,360279.5276,0.340345215,1.103448168,0.375553304,34875,1.306657675,0.539041295,0.704342445,427788.8,1.15878883,0.348183438,0.403471079,409070,1.135423562,0.340345215,0.386435976
800545,22000,1.719769497,1.476298803,2.53889365,359040,1.178202655,1.1710255,1.379705353,357714,0.994587027,1.115278097,1.109241126,13475,0.612517613,1.719769497,1.053389107,313140,0.872159447,1.178202655,1.027580576,367710,1.027944034,0.994587027,1.0223798
800557,20710,7.667900777,0.087211474,0.66872893,376742,4.811830618,0.283558091,1.364433507,355017,1.089232489,1.234592746,1.34475853,0,0.0000483,7.667900777,0.000370233,78550,0.208500224,4.811830618,1.003267763,383699,1.08079027,1.089232489,1.177231875
800584,0,1,3.25E-05,3.25E-05,0,1.20E-05,0.280214116,3.35E-06,0,3.46E-06,0.976331441,3.37E-06,0,1,1,1,0,0.000012,0.280214116,0.00000335,0,0.00000346,0.976331441,0.00000337
800587,13800,13801,6.32E-05,0.871814765,311040,2.22818316,0.454547231,1.012814485,200160,0.615657227,1,0.615657227,0,0.0000725,13801,1,311040,2.22818316,0.454547231,1.012814485,200160,0.615657227,1,0.615657227
800592,0,1,5.32E-05,5.32E-05,147960,1.057663577,0.561447543,0.593822617,366660,1.480465627,1.001213587,1.482262301,0,1,1,1,128958,0.871574266,1.057663577,0.921832356,221400,0.603830241,1.480465627,0.893949916
800600,13800,0.37276542,1.466355638,0.546606675,242082,1.118612177,1.20565004,1.348654816,180474,1.140882831,1.020767824,1.164576484,0,0.0000725,0.37276542,0.000027,0,0.00000413,1.118612177,0.00000462,0,0.00000554,1.140882831,0.00000632
800601,20430,20431,1,20431,221064,2.341199002,0.667092726,1.561796824,203100,0.648429219,0.992738134,0.643720413,0,0.0000489,20431,1,71640,0.324072105,2.341199002,0.75871729,126438,0.622542479,0.648429219,0.403674733
800615,0,2.57E-05,1.759674375,4.53E-05,244850,0.647166724,1.445317657,0.935361494,102416,0.292607828,1.904291463,0.557210588,0,1,0.0000257,0.0000257,244850,0.647166724,1.445317657,0.935361494,102416,0.292607828,1.904291463,0.557210588
800629,0,1,3.02E-05,3.02E-05,332114.25,0.348971802,1.119426573,0.390648309,276872.7,0.327459503,1.119978422,0.366747578,0,1,1,1,332114.25,0.348971802,1.119426573,0.390648309,276872.7,0.327459503,1.119978422,0.366747578
800631,0,1,5.17E-05,5.17E-05,185470,0.747076059,0.352876692,0.263625729,241860,0.506852837,0.755135221,0.382742429,0,1,1,1,231295,1.247073667,0.747076059,0.93165888,288807,1.194107359,0.506852837,0.605236703
800641,15900,0.39746753,1.366479446,0.54313121,304416,1.003507134,1.117191387,1.121109527,293472,1.034484825,1.098836826,1.136730022,33175,2.08640966,0.39746753,0.829280094,392688,1.289970665,1.003507134,1.294494765,350208,1.193326132,1.034484825,1.234477775
800725,15890,15891,1,15891,273946,1.652200792,0.682660003,1.127891398,252087,1.156940649,0.397970838,0.46042864,23275,1.464728463,15891,23276,384830,1.404764425,1.652200792,2.320952896,365903,1.451493129,1.156940649,1.679291404
800727,0,1,1.76E-05,1.76E-05,287189.5,5.284273813,0.087086572,0.46018929,540787,0.752051905,1.171495905,0.881025727,0,1,1,1,0,0.00000348,5.284273813,0.0000184,0,0.00000185,0.752051905,0.00000139
800728,30194.7,0.776783944,1.002994523,0.779110041,764949.6,2.430976614,0.89239935,2.16940195,772371,2.811455142,0.823952626,2.316505846,21983.8,0.728077177,0.776783944,0.56555866,631590,0.825662468,2.430976614,2.00716615,644420,0.834340188,2.811455142,2.345710013
800742,0,1,3.70E-05,3.70E-05,25344,0.092776637,0.694657265,0.064447965,74592,0.180055856,1.13861348,0.205014025,0,1,1,1,25344,0.092776637,0.694657265,0.064447965,74592,0.180055856,1.13861348,0.205014025
800743,0,3.34E-05,0.984795234,3.29E-05,104832,0.222002407,1.127598262,0.250329529,98352,0.206702983,1.20992313,0.25009472,0,1,0.0000334,0.0000334,104832,0.222002407,1.127598262,0.250329529,98352,0.206702983,1.20992313,0.25009472
800755,0,1,1,1,266330.52,5.424152319,0.049278328,0.267293155,629373.24,0.57317112,0.957198481,0.548638526,0,1,1,1,266330.52,5.424152319,0.049278328,0.267293155,629373.24,0.57317112,0.957198481,0.548638526
800775,12640,14.0299667,0.450274863,6.317341329,190965,5.954243934,0.132781052,0.790610771,204829,0.755376698,1.048609257,0.792094998,10782.82,0.853082826,14.0299667,11.96872364,152146,0.796722977,5.954243934,4.743882952,163731,0.799355563,0.755376698,0.603814566
800781,25415,0.453254282,1.273458225,0.577200394,595296,0.955201421,1.182905636,1.129913144,554400,1.055296364,1.04477603,1.102548346,36610,1.44047057,0.453254282,0.652899454,660672,1.109820812,0.955201421,1.060102417,626112,1.129350416,1.055296364,1.191799387
800785,0,5.56E-05,17980.4458,1,68244,0.343563811,2.771509217,0.952190268,189138,0.964773788,1.000089885,0.964860507,0,1,0.0000556,0.0000556,20400,0.298937651,0.343563811,0.102704159,26367,0.139410698,0.964773788,0.134499787
800797,0,0.00011696,8549.9352,1,298395,0.342340622,0.856103204,0.293078904,536914,0.500668624,0.821610142,0.411354419,19000,19001,0.00011696,2.222356024,477185,1.59917023,0.342340622,0.547460932,475950,0.886455025,0.500668624,0.443820218
800800,16000,0.63816541,1.187619412,0.757897629,611040,0.820357077,0.962222271,0.78936585,611040,0.845749047,0.933333419,0.78936585,0,0.0000625,0.63816541,0.0000399,611040,0.820357077,0.962222271,0.78936585,611040,0.845749047,0.933333419,0.78936585
800801,35360,35361,6.36E-05,2.247339257,419220,3.109302222,0.367073542,1.14134258,390150,1.180870879,0.760185866,0.897681352,36500,1.032238907,35361,36501,350370,0.835766815,3.109302222,2.598651615,350013,0.897124447,1.180870879,1.059388134
800824,22855,22856,5.28E-05,1.205704822,442320,0.666055776,0.683146181,0.455013459,428384,0.418692037,1.068775517,0.447487798,0,0.0000438,22856,1,343330,0.776203255,0.666055776,0.516994661,341502,0.79718711,0.418692037,0.333775894
800834,11400,11401,1,11401,188640,1.108255236,12.59914138,13.9630644,205920,0.959360616,0.979452149,0.939647816,0,0.0000877,11401,1,403200,2.137398551,1.108255236,2.368783135,490608,2.382510769,0.959360616,2.285686998
800842,13800,13801,1,13801,164718,1.137109981,1.365737536,1.552993783,133593,0.79015676,1.14279212,0.902984918,21675,1.570610825,13801,21676,153608,0.9325518,1.137109981,1.06041396,136692,1.02319715,0.79015676,0.808486144
800843,0,1,1,1,6271.98,0.236392413,0.305563552,0.072232906,198291.06,0.570042845,1.508365996,0.859833244,0,1,1,1,6271.98,0.236392413,0.305563552,0.072232906,198291.06,0.570042845,1.508365996,0.859833244
800866,0,1,1,1,96680,0.567123818,0.844675713,0.479035715,80940,0.224799369,0.962254365,0.216314174,0,1,1,1,96680,0.567123818,0.844675713,0.479035715,80940,0.224799369,0.962254365,0.216314174
800888,0,2.93E-05,0.976469229,2.86E-05,489440,0.392448839,0.987738429,0.3876368,1000160,0.918516291,1.009569369,0.927305913,0,1,0.0000293,0.0000293,0,0.00000204,0.392448839,0.000000802,0,0.000001,0.918516291,0.000000918
800905,23320,23321,1,23321,372960,2.499731904,1.430211703,3.575145825,358098,1.591544745,1.08152919,1.721302098,20900,0.896230865,23321,20901,359092,0.962816488,2.499731904,2.406783092,389793,1.088509044,1.591544745,1.732410848
800908,12141.98,0.515105075,1.032839703,0.532020972,383496,1.964889331,0.953658958,1.873834311,436844,2.568565944,0.908971628,2.334753567,0,0.0000824,0.515105075,0.0000424,234480,0.611428512,1.964889331,1.201389359,288470,0.660350925,2.568565944,1.696154898
800928,0,1.75E-05,0.965992602,1.69E-05,295700,0.324200137,0.978069901,0.317090396,295442,0.325848188,1.042660855,0.33974915,0,1,0.0000175,0.0000175,295700,0.324200137,0.978069901,0.317090396,295442,0.325848188,1.042660855,0.33974915
800938,0,1.98E-05,1.18137132,2.34E-05,0,1.48E-06,1.006516787,1.49E-06,0,1.66E-06,1.117723649,1.85E-06,0,1,0.0000198,0.0000198,0,0.00000148,1.006516787,0.00000149,0,0.00000166,1.117723649,0.00000185
800945,0,2.26E-05,1.063934688,2.40E-05,0,1.48E-06,1.069066417,1.58E-06,0,1.58E-06,1.135273809,1.79E-06,0,1,0.0000226,0.0000226,0,0.00000148,1.069066417,0.00000158,0,0.00000158,1.135273809,0.00000179
800956,0,1,1,1,17561.7,0.190562529,1.20156293,0.22897287,33702.68,0.210440584,1.056435271,0.222316856,0,1,1,1,17561.7,0.190562529,1.20156293,0.22897287,33702.68,0.210440584,1.056435271,0.222316856
800962,0,1,1,1,19883,0.097152984,1.238943876,0.120367094,11207,0.034249004,1.362767423,0.046673427,0,1,1,1,19883,0.097152984,1.238943876,0.120367094,11207,0.034249004,1.362767423,0.046673427
800963,0,3.85E-05,25983.7269,1,0,5.20E-07,1.416666359,7.37E-07,0,4.83E-07,1.026001809,4.96E-07,0,1,0.0000385,0.0000385,0,0.00000052,1.416666359,0.000000737,0,0.000000483,1.026001809,0.000000496
800966,0,0.001109878,0.075885779,8.42E-05,-6630,-0.05579692,0.896838723,-0.050040839,93534,0.554773956,1.275750687,0.707753256,0,1,0.001109878,0.001109878,-6630,-0.05579692,0.896838723,-0.050040839,93534,0.554773956,1.275750687,0.707753256
800976,30520,0.39525013,1.202036177,0.475104956,1222080,0.644707064,0.922519951,0.594755129,1158240,0.971847558,1.435483346,1.395070985,38000,1.24507716,0.39525013,0.49211691,1123280,0.919154295,0.644707064,0.592585267,1126320,0.972440969,0.971847558,0.945064381
800977,0,1,1,1,55537,0.346121942,0.72132379,0.249665991,84963.58,0.337317965,0.981634807,0.331123055,0,1,1,1,55537,0.346121942,0.72132379,0.249665991,84963.58,0.337317965,0.981634807,0.331123055
800985,0,1,1,1,36956,0.466004507,0.554801497,0.258539998,147279.44,0.652219915,1.577993437,1.029198745,0,1,1,1,36956,0.466004507,0.554801497,0.258539998,147279.44,0.652219915,1.577993437,1.029198745
